IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.237.82.15,2095,2095,false,SIN,Asia Pacific,Singapore,13,0.82
47.236.145.85,2095,2095,false,SIN,Asia Pacific,Singapore,4,0.68
47.237.95.13,80,80,false,SIN,Asia Pacific,Singapore,9,0.63
47.236.169.141,8880,8880,false,SIN,Asia Pacific,Singapore,4,0.63
47.245.126.151,2086,2086,false,SIN,Asia Pacific,Singapore,8,0.62
47.236.170.225,8443,8443,true,SIN,Asia Pacific,Singapore,6,0.62
47.237.86.185,8880,8880,false,SIN,Asia Pacific,Singapore,14,0.58
47.237.92.26,2086,2086,false,SIN,Asia Pacific,Singapore,9,0.50
47.236.9.152,80,80,false,SIN,Asia Pacific,Singapore,6,0.43
47.237.94.140,8080,8080,false,SIN,Asia Pacific,Singapore,9,0.33
47.237.125.8,2082,2082,false,SIN,Asia Pacific,Singapore,12,0.25
8.222.233.183,443,443,true,SIN,Asia Pacific,Singapore,14,0.22
47.237.125.8,2087,2087,true,SIN,Asia Pacific,Singapore,7,0.12
47.236.118.216,2095,2095,false,SIN,Asia Pacific,Singapore,9,0.00
43.156.253.94,443,443,true,SIN,Asia Pacific,Singapore,9,0.00
47.236.202.91,2082,2082,false,SIN,Asia Pacific,Singapore,7,0.00
47.236.146.249,8443,8443,true,SIN,Asia Pacific,Singapore,5,0.00
45.159.51.121,32199,443,true,SIN,Asia Pacific,Singapore,6,0.00
47.238.52.160,80,443,true,SIN,Asia Pacific,Singapore,14,0.00
47.236.118.216,2082,2082,false,SIN,Asia Pacific,Singapore,9,0.00
47.236.254.120,2082,2082,false,SIN,Asia Pacific,Singapore,9,0.00
47.237.81.112,8880,8880,false,SIN,Asia Pacific,Singapore,8,0.00
47.237.121.38,80,80,false,SIN,Asia Pacific,Singapore,8,0.00
124.156.202.172,443,443,true,SIN,Asia Pacific,Singapore,3,0.00
47.238.44.224,80,443,true,SIN,Asia Pacific,Singapore,43,0.00
47.238.48.58,80,443,true,SIN,Asia Pacific,Singapore,8,0.00
47.76.243.157,80,443,true,SIN,Asia Pacific,Singapore,7,0.00
